Name_lang,ID,ChrCustomizationOptionID,ChrCustomizationReqID,OrderIndex,UiOrderIndex,Flags,AddedInPatch,SwatchColor[0],SwatchColor[1]
,1,9,291,0,40,0,90001,-1654626,0
,2,9,291,1,41,0,90001,-2312813,0
,3,9,291,2,42,0,90001,-3036537,0
,4,9,291,3,43,0,90001,-3694724,0
,5,9,291,4,44,0,90001,-4352911,0
,6,9,291,5,45,0,90001,-5076891,0
,7,9,291,6,46,0,90001,-5735078,0
,8,9,291,7,47,0,90001,-6458802,0
,9,9,291,8,48,0,90001,-7116989,0
,10,9,291,9,49,0,90001,-10142692,0
,11,9,12,10,100,0,90001,11961695,0
,12,9,12,11,101,0,90001,0,0
,13,9,53,12,70,0,90001,11640187,0
,14,9,53,13,71,0,90001,11377493,0
,15,9,53,14,72,0,90001,-6717857,0
,16,9,12,15,102,0,90001,11968895,0
,17,9,10,16,103,0,90001,0,0
,18,9,12,17,104,0,90001,0,0
,20,10,141,0,0,0,90001,0,0
,21,10,141,1,1,0,90001,0,0
,22,10,141,2,2,0,90001,0,0
,23,10,141,3,3,0,90001,0,0
,24,10,141,4,4,0,90001,0,0
,25,10,141,5,5,0,90001,0,0
,26,10,141,6,6,0,90001,0,0
,27,10,141,7,7,0,90001,0,0
,28,10,141,8,8,0,90001,0,0
,29,10,141,9,9,0,90001,0,0
,30,10,141,10,10,0,90001,0,0
,31,10,141,11,11,0,90001,0,0
Bald,44,11,141,0,0,0,90001,0,0
Peasant,45,11,141,1,1,0,90001,0,0
Soldier,46,11,141,2,2,0,90001,0,0
Monk,47,11,141,3,3,0,90001,0,0
Barbarian,48,11,141,4,4,0,90001,0,0
Dashing,49,11,141,5,5,0,90001,0,0
Loose,50,11,141,6,6,0,90001,0,0
Courtier,51,11,141,7,7,0,90001,0,0
Scholar,52,11,141,8,8,0,90001,0,0
Rogue,53,11,141,9,9,0,90001,0,0
Fabulous,54,11,141,10,10,0,90001,0,0
Samson,55,11,141,11,11,0,90001,0,0
Brawler,56,11,141,12,12,0,90001,0,0
Spikey,57,11,141,13,13,0,90001,0,0
Swept,58,11,141,14,14,0,90001,0,0
Foxtail,59,11,141,15,15,0,90001,0,0
Long,60,11,141,16,16,0,90001,0,0
,61,12,35,0,1,0,90001,3815996,0
,62,12,35,1,7,0,90001,8935702,0
,63,12,35,2,3,0,90001,11559219,0
,64,12,35,3,4,0,90001,11356928,0
,65,12,35,4,6,0,90001,13726464,0
