sound_kit_id,attack_role,creature_name,display_gender_value,display_gender_label,is_female,creature_entry_count,creature_entries,creature_display_ids,creature_model_data_ids,file_count_in_sound_kit,first_attack_filename
8988,attack,_JKL - Data Test,1,female,yes,1,125654,78544,7692,10,draeneifemalepcattackc
8992,attack,????,1,female,yes,1,188914,106898,8103,5,bloodelffemalepcattacka
18496,attack,"""Appraiser"" Sazsel Stickyfingers",1,female,yes,2,84967|208620,58595,832,10,goblinfemale_attack02
2937,attack,"""Auntie"" Bernice Stonefield",1,female,yes,1,246,3329,7599,10,humanfeamlemainattackb
2925,attack,"""Bad News"" Brin",1,female,yes,1,123394,77293,7203,10,dwarffemalemainattackc
18496,attack,"""Baroness"" Llana",1,female,yes,1,29534,26386,832,10,goblinfemale_attack02
18496,attack,"""Bloodsail Buccaneer""",1,female,yes,2,236248|236555,125249|125250|125251|125252,832,10,goblinfemale_attack02
18496,attack,"""Bloodsail Pirate""",1,female,yes,1,236607,125249|125250|125251|125252,832,10,goblinfemale_attack02
3269,attack,"""Charlie"" Northtop",1,female,yes,1,26596,23935,7130,10,gnomefemalemainattacka
18496,attack,"""Cranky"" Nan",1,female,yes,1,230676,123046,832,10,goblinfemale_attack02
3269,attack,"""Doc"" Ballard Wildwave",1,female,yes,1,49145,31624,7130,10,gnomefemalemainattacka
3269,attack,"""Doc"" Cogspin",1,female,yes,4,39273|42323|53429|79059,31624|54862,7130,10,gnomefemalemainattacka
8992,attack,"""Don't Die"" Dyona",1,female,yes,2,154042|247137,91983,8103,5,bloodelffemalepcattacka
2937,attack,"""Fen"" Rucket",1,female,yes,2,257295|257297,140009,7599,10,humanfeamlemainattackb
3269,attack,"""Fidge"" Frostflash",1,female,yes,1,107278,69914,7130,10,gnomefemalemainattacka
18496,attack,"""Gabby"" Gabi",1,female,yes,2,228860|239655,122317,832,10,goblinfemale_attack02
3269,attack,"""Goblin"" Pump Controller",1,female,yes,1,41434,32463,7130,10,gnomefemalemainattacka
170005,attack,"""Granny""",1,female,yes,1,169331,97013,12133,10,mon_faunfemale_attack_01_170005
170006,attack_critical,"""Granny""",1,female,yes,1,169331,97013,12133,5,mon_faunfemale_attackcritical_01_170006
1361,attack,"""Hacksaw"" Jenny",1,female,yes,1,24252,22220,7578,10,undeadfemalefinalattacka
18496,attack,"""Happy"" Blackwater Dancer",1,female,yes,1,228066,125596,832,10,goblinfemale_attack02
2937,attack,"""Lefty"" Lucy",1,female,yes,1,197253,109484,7599,10,humanfeamlemainattackb
225,attack,"""Len"" Splinthoof",1,female,yes,2,255228|255326,138698,9933,10,taurenfemalefinalattackb
2937,attack,"""Off-Duty"" Cadet",1,female,yes,1,141080,85657|85658|85659|85661,7599,10,humanfeamlemainattackb
29381,attack_critical,"""Olive"" Ya",1,female,yes,1,68407,43669,4817,6,vo_pandaren_female_standard_attackcrit_01
29382,attack,"""Olive"" Ya",1,female,yes,1,68407,43669,4817,10,vo_pandaren_female_standard_attacks_01
115456,attack,"""Risky"" Liz Seminario",1,female,yes,1,124289,77936,10532,9,mon_kultiran_female_heavy_attack_06
115457,attack_critical,"""Risky"" Liz Seminario",1,female,yes,1,124289,77936,10532,5,mon_kultiran_female_heavy_attackcrit_02
3269,attack,"""Roller""",1,female,yes,1,97719,12940,7130,10,gnomefemalemainattacka
166240,attack,"""Shrouded"" Arcanist",1,female,yes,1,171858,93569,11803,7,mon_vampire_female_attack_06_166240
166241,attack_critical,"""Shrouded"" Arcanist",1,female,yes,1,171858,93569,11803,3,mon_vampire_female_attackcritical_02_166241
166240,attack,"""Shrouded"" Marauder",1,female,yes,1,171857,93558,11803,7,mon_vampire_female_attack_06_166240
166241,attack_critical,"""Shrouded"" Marauder",1,female,yes,1,171857,93558,11803,3,mon_vampire_female_attackcritical_02_166241
2937,attack,"""Spyglass"" Marie",1,female,yes,1,139767,88342,7599,10,humanfeamlemainattackb
3269,attack,"""Stabby"" Lottie",1,female,yes,2,135246|137315,84166,7130,10,gnomefemalemainattacka
3269,attack,"""Stitches"" Solderbolt",1,female,yes,1,76108,53051,7130,10,gnomefemalemainattacka
