sound_kit_id,reason,attack_roles_found,creature_sound_data_ids,creature_model_data_ids,creature_display_ids,display_gender_values,file_count_in_sound_kit,file_data_ids,filenames
49,no_creature_sound_data_attack_mapping,,,,,,1,567926,unarmedattackmediumcrit
186,no_creature_model_data_for_creature_sound_data,attack_critical,4318|5932|5995|5998|6847,,,,4,540723|540724|540730|540732,humanmaleattackc|humanmaleattackd|humanmaleattackb|humanmaleattacka
193,no_creature_model_data_for_creature_sound_data,attack_critical,4319,,,,5,540528|540529|540530|540532|540534,mhumanfemaleattackvoxd|mhumanfemaleattackvoxe|mhumanfemaleattackvoxb|mhumanfemaleattackvoxa|mhumanfemaleattackvoxc
210,no_creature_model_data_for_creature_sound_data,attack_critical,4288|4314,,,,7,960432|960434|960436|960438|960440|960604|960612,mon_orcfemale_aggressive01_attackcrit01|mon_orcfemale_aggressive01_attackcrit02|mon_orcfemale_aggressive01_attackcrit03|mon_orcfemale_aggressive01_attackcrit04|mon_orcfemale_aggressive01_attackcrit05|mon_orcfemale_spiritual01_attackcrit01|mon_orcfemale_spiritual01_attackcrit05
306,no_creature_model_data_for_creature_sound_data,attack,10|122|123,,,,7,550333|550335|550336|550337|550339|550345|550350,mgnollattack4|mgnollattack5|mgnollattack7|mgnollattack6|mgnollattack3|mgnollattack2|mgnollattack1
307,no_creature_model_data_for_creature_sound_data,attack_critical,10|122|123,,,,1,550350,mgnollattack1
335,no_creature_display_info_for_model,attack,70,70,,,3,560648|560650|560651,marmoredskeletonattackc|marmoredskeletonattackb|marmoredskeletonattacka
355,no_creature_model_data_for_creature_sound_data,attack,8|2569,,,,3,549397|549401|549404,mfurbolgattack1|mfurbolgattack2|mfurbolgattack3
356,no_creature_model_data_for_creature_sound_data,attack_critical,8|2569,,,,1,549396,mfurbolgattackcritical1
579,no_creature_sound_data_attack_mapping,,,,,,4,929499|929501|929503|929505,mon_draenorwolf_attackcrit01|mon_draenorwolf_attackcrit02|mon_draenorwolf_attackcrit03|mon_draenorwolf_attackcrit04
655,no_creature_model_data_for_creature_sound_data,attack,41,,,,2,562773|562774,mtroglodyteattackc|mtroglodyteattackb
709,no_creature_model_data_for_creature_sound_data,attack,90|2500|3964|5783,,,,4,551948|551949|551951|551952,mhippogryphattacka|mhippogryphattackd|mhippogryphattackc|mhippogryphattackb
1014,no_creature_sound_data_attack_mapping,,,,,,3,567919|567924|567928,unarmedattacksmalla|unarmedattacksmallc|unarmedattacksmallb
1117,no_creature_display_info_for_model,attack,37|4959,9054,,,4,561140|561141|561145|561149,succubusattackd|succubusattackc|succubusattacka|succubusattackb
1167,no_creature_model_data_for_creature_sound_data,attack,142,,,,3,544834|544835|544839,bansheeattackc|bansheeattackb|bansheeattacka
1225,no_creature_sound_data_attack_mapping,,,,,,3,546424|546429|546433,crabattackb|crabattackc|crabattacka
1231,no_creature_model_data_for_creature_sound_data,attack,3351,,,,3,562289|562293|562294,threshadonattacka|threshadonattackc|threshadonattackb
1258,no_creature_sound_data_attack_mapping,,,,,,4,540723|540724|540730|540732,humanmaleattackc|humanmaleattackd|humanmaleattackb|humanmaleattacka
1339,no_creature_sound_data_attack_mapping,,,,,,1,540861,humanmalenpc3attacka
1340,no_creature_sound_data_attack_mapping,,,,,,1,540862,humanmalenpc3attackb
